city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,maintainer,rating,featureId,curators,sources,countyName,certValidation,maintainers
,,Liaoning,CHN,126,2,122,,2,43590000,41.09091390618639,122.31055016440854,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,141,,,,,
,,Jilin,CHN,93,1,92,,0,27040000,43.56576924140737,126.47365482303488,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,142,,,,,
,,,CZE,833,0,4,,829,10674723,49.80312398300006,15.540038086000095,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,143,,,,,
,,Xinjiang,CHN,76,3,73,,0,24870000,41.752899103285706,84.98429810398284,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,144,,,,,
,,Inner Mongolia,CHN,75,1,74,,0,25000034,45.35383134546877,111.62347220837569,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,145,,,,,
,,Ningxia,CHN,75,0,75,,0,6880000,37.31081075681095,106.00808271719359,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,146,,,,,
,,,TWN,135,2,26,,107,23508428,23.598456122000044,120.98259524850005,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,147,,,,,
,,,VNM,91,0,16,,75,96160163,15.941768090000089,105.79183617800007,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,148,,,,,
,,,RUS,253,1,9,,243,142257519,61.240742495500065,4.263256414560601e-14,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,149,,,,,
,,Qinghai,CHN,18,0,18,,0,6030000,35.43499502195269,96.23774885477579,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,150,,,,,
,,,MAC,17,0,10,,7,601969,22.13420237850005,113.55058841250002,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,151,,,,,
,,,MDA,66,1,1,,64,3474121,46.967069702500055,28.28525496400006,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,152,,,,,
,,,BOL,15,0,0,,15,11138234,-16.286937560999938,-63.58694087799992,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,153,,,,,
,,,FRO,80,0,0,,80,50730,62.08268870650005,-6.9691055979999135,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,154,,,,,
,,St Martin,FRA,4,0,0,,4,,18.07776461717568,-63.06228647314417,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,155,,,,,
,,,HND,24,0,0,,24,9038741,14.484747626000058,-86.24603266122396,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,156,,,,,
,,Channel Islands,GBR,14,0,0,,14,,49.3723,-2.3644,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,,,,,,
,,Tibet,CHN,1,0,1,,0,3440000,31.88221486755922,88.74489831230724,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,157,,,,,
