name,level,city,county,state,country,lat,long,population,url,aggregate,tz,2020-04-10,2020-04-11
Belgium,country,,,,Belgium,50.501000000000005,4.475,11431406,https://github.com/CSSEGISandData/COVID-19,country,Europe/Brussels,26667,26667
Benin,country,,,,Benin,9.321,2.311,11175692,https://github.com/CSSEGISandData/COVID-19,country,Africa/Porto-Novo,35,35
Bhutan,country,,,,Bhutan,27.4745,90.4335,807610,https://github.com/CSSEGISandData/COVID-19,country,Asia/Thimphu,5,5
Bolivia,country,,,,Bolivia,-16.2835,-63.5475,11051600,https://github.com/CSSEGISandData/COVID-19,country,America/La_Paz,268,268
Bosnia and Herzegovina,country,,,,Bosnia and Herzegovina,43.916,17.673499999999997,3507017,https://github.com/CSSEGISandData/COVID-19,country,Europe/Sarajevo,901,901
Brunei,country,,,,Brunei,4.5245,114.7195,428697,https://github.com/CSSEGISandData/COVID-19,country,Asia/Brunei,136,136
Bulgaria,country,,,,Bulgaria,42.726,25.4825,7000039,https://github.com/CSSEGISandData/COVID-19,country,Europe/Sofia,635,635
Burkina Faso,country,,,,Burkina Faso,12.248000000000001,-1.552,19193382,https://github.com/CSSEGISandData/COVID-19,country,Africa/Ouagadougou,443,443
Cape Verde,country,,,,Cape Verde,15.999,-24.0135,546388,https://github.com/CSSEGISandData/COVID-19,country,Atlantic/Cape_Verde,7,7
Cambodia,country,,,,Cambodia,12.307500000000001,104.981,16005373,https://github.com/CSSEGISandData/COVID-19,country,Asia/Phnom_Penh,119,119
Cameroon,country,,,,Cameroon,7.366,12.3445,24053727,https://github.com/CSSEGISandData/COVID-19,country,Africa/Douala,820,820
Central African Republic,country,,,,Central African Republic,6.603,20.941000000000003,4659080,https://github.com/CSSEGISandData/COVID-19,country,Africa/Bangui,8,8
Chad,country,,,,Chad,15.4695,18.7365,15477751,https://github.com/CSSEGISandData/COVID-19,country,Africa/Ndjamena,11,11
Chile,country,,,,Chile,-37.018,-87.938,18054726,https://github.com/CSSEGISandData/COVID-19,country,Etc/GMT+6,6501,6501
"Anhui, China",state,,,Anhui,China,32.0255,117.25649999999999,60300000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,991,991
"Beijing, China",state,,,Beijing,China,40.247,116.464,21710000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,588,588
"Chongqing, China",state,,,Chongqing,China,30.183,107.7425,7990000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,579,579
"Fujian, China",state,,,Fujian,China,25.924500000000002,118.2875,36894216,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,351,351
