city,county,state,country,population,lat,long,url,cases,deaths,recovered,active,tested,growthFactor,date
,,,FRO,50730,62.08268870650005,-6.9691055979999135,https://github.com/CSSEGISandData/COVID-19,140,,,,,,2020-03-26
,,Greenland,DNK,,77.31684743914664,-36.74461070059533,https://github.com/CSSEGISandData/COVID-19,6,,,,,,2020-03-26
,,,DNK,5605948,56.10986969600006,11.628916862500091,https://github.com/CSSEGISandData/COVID-19,1877,41,,,,,2020-03-26
,,,DJI,865267,11.839293826500068,42.58024885700007,https://github.com/CSSEGISandData/COVID-19,11,,,,,,2020-03-26
,,,DOM,10734247,18.771246649000062,-70.13417985399988,https://github.com/CSSEGISandData/COVID-19,488,10,,,,,2020-03-26
,,,ECU,16290913,-1.7634670984999161,-83.4578538649999,https://github.com/CSSEGISandData/COVID-19,1403,34,,,,,2020-03-26
,,,EGY,97041072,26.825424706000064,30.791862752500094,https://github.com/CSSEGISandData/COVID-19,495,24,,,,,2020-03-26
,,,SLV,6172011,13.787057295000054,-88.9058347174999,https://github.com/CSSEGISandData/COVID-19,13,,,,,,2020-03-26
,,,GNQ,778358,2.3796428239493608,9.89327355600011,https://github.com/CSSEGISandData/COVID-19,12,,,,,,2020-03-26
,,,ERI,5918919,15.182425031500067,39.77066674450006,https://github.com/CSSEGISandData/COVID-19,6,,,,,,2020-03-26
,,,EST,1251581,58.572233381000025,24.943451368500064,https://github.com/CSSEGISandData/COVID-19,538,1,,,,,2020-03-26
,,,SWZ,1467152,-26.52995574899993,31.451547485500043,https://github.com/CSSEGISandData/COVID-19,6,,,,,,2020-03-26
,,,ETH,105350020,9.170952962500039,40.484484497000125,https://github.com/CSSEGISandData/COVID-19,12,,,,,,2020-03-26
,,,FJI,920938,-17.19878971549994,178.62581910850002,https://github.com/CSSEGISandData/COVID-19,5,,,,,,2020-03-26
,,,FIN,5491218,64.9866635165001,26.09634464500006,https://github.com/CSSEGISandData/COVID-19,958,5,,,,,2020-03-26
,,French Guiana,FRA,,3.9276570495000627,-53.13299882399991,https://github.com/CSSEGISandData/COVID-19,28,,,,,,2020-03-26
,,French Polynesia,FRA,,-17.6797,149.4068,https://github.com/CSSEGISandData/COVID-19,30,,,,,,2020-03-26
,,New Caledonia,FRA,,-20.9043,165.618,https://github.com/CSSEGISandData/COVID-19,14,,,,,,2020-03-26
,,Reunion,FRA,,-21.1351,55.2471,https://github.com/CSSEGISandData/COVID-19,135,,,,,,2020-03-26
,,Saint Barthelemy,FRA,9793,17.903509833000072,-62.82453365799992,https://github.com/CSSEGISandData/COVID-19,3,,,,,,2020-03-26
,,St Martin,FRA,,18.07776461717568,-63.06228647314417,https://github.com/CSSEGISandData/COVID-19,11,,,,,,2020-03-26
,,,GAB,1772255,-0.8136401413979657,11.649647050500107,https://github.com/CSSEGISandData/COVID-19,7,1,,,,,2020-03-26
,,,GMB,2051363,13.442496646000073,-15.340368716999905,https://github.com/CSSEGISandData/COVID-19,3,1,,,,,2020-03-26
,,,GEO,4926330,42.31029968300004,43.34038972821833,https://github.com/CSSEGISandData/COVID-19,79,,,,,,2020-03-26
,,,DEU,80594017,51.09924480150008,10.473758178500105,https://github.com/CSSEGISandData/COVID-19,43938,267,,,,,2020-03-26
,,,GHA,27499924,7.936054182000099,-1.038557295499956,https://github.com/CSSEGISandData/COVID-19,132,4,,,,,2020-03-26
,,,GRC,10768477,38.322331546000065,24.119802279500078,https://github.com/CSSEGISandData/COVID-19,892,26,,,,,2020-03-26
,,,GTM,15460732,15.773375903990305,-90.2335965784999,https://github.com/CSSEGISandData/COVID-19,25,1,,,,,2020-03-26
,,,GIN,12413867,9.955672506000056,-11.356289228999898,https://github.com/CSSEGISandData/COVID-19,4,,,,,,2020-03-26
,,,GUY,737718,4.887909040000061,-58.9307134609999,https://github.com/CSSEGISandData/COVID-19,5,1,,,,,2020-03-26
,,,HTI,10646714,18.99158356300007,-73.06413834999991,https://github.com/CSSEGISandData/COVID-19,8,,,,,,2020-03-26
,,,VAT,1000,41.90333333950011,12.453533325000109,https://github.com/CSSEGISandData/COVID-19,4,,,,,,2020-03-26
,,,HND,9038741,14.484747626000058,-86.24603266122396,https://github.com/CSSEGISandData/COVID-19,52,1,,,,,2020-03-26
,,,HUN,9850845,47.156127930000025,19.485817912000087,https://github.com/CSSEGISandData/COVID-19,261,10,,,,,2020-03-26
,,,ISL,339747,64.96666087450004,-18.861826138499936,https://github.com/CSSEGISandData/COVID-19,802,2,,,,,2020-03-26
,,,IND,1281935911,21.151850284000083,82.74863427400004,https://github.com/CSSEGISandData/COVID-19,727,20,,,,,2020-03-26
,,,IDN,260580739,-2.6357561174999375,118.08721907200007,https://github.com/CSSEGISandData/COVID-19,893,78,,,,,2020-03-26
,,,IRN,82021564,32.412651216000036,53.6631116130001,https://github.com/CSSEGISandData/COVID-19,29406,2234,,,,,2020-03-26
,,,IRQ,39192111,33.21901997950006,43.65276391200004,https://github.com/CSSEGISandData/COVID-19,382,36,,,,,2020-03-26
,,,IRL,5011102,53.46108633000006,-8.136179165499925,https://github.com/CSSEGISandData/COVID-19,1819,19,,,,,2020-03-26
,,,ISR,8299706,31.448389692000035,35.06821170350008,https://github.com/CSSEGISandData/COVID-19,2693,8,,,,,2020-03-26
,,,JAM,2990561,18.11774323150007,-77.30223548049992,https://github.com/CSSEGISandData/COVID-19,26,1,,,,,2020-03-26
,,,JPN,126451398,37.87307291750005,137.65978516150005,https://github.com/CSSEGISandData/COVID-19,1387,47,,,,,2020-03-26
,,,JOR,10248069,31.280817871500048,37.04788003839781,https://github.com/CSSEGISandData/COVID-19,212,,,,,,2020-03-26
,,,KAZ,18556698,47.96872690850006,66.90155419950011,https://github.com/CSSEGISandData/COVID-19,111,1,,,,,2020-03-26
,,,KEN,47615739,0.1521078450765998,37.889294067000066,https://github.com/CSSEGISandData/COVID-19,31,1,,,,,2020-03-26
,,,KOR,51181299,35.91235993050006,127.85698489700007,https://github.com/CSSEGISandData/COVID-19,9241,131,,,,,2020-03-26
,,,KWT,2875422,29.315860290500055,47.48260848850009,https://github.com/CSSEGISandData/COVID-19,208,,,,,,2020-03-26
,,,KGZ,5789122,41.250428976000094,74.71831221500008,https://github.com/CSSEGISandData/COVID-19,44,,,,,,2020-03-26
,,,LVA,1944643,56.862861023500045,24.59194014100008,https://github.com/CSSEGISandData/COVID-19,244,,,,,,2020-03-26
,,,LBN,6229794,33.86861807120964,35.85466820900007,https://github.com/CSSEGISandData/COVID-19,368,6,,,,,2020-03-26
,,,LBR,4689021,6.419949359948774,-9.434906172499936,https://github.com/CSSEGISandData/COVID-19,3,,,,,,2020-03-26
,,,LIE,38244,47.15983571400008,9.533092081500058,https://github.com/CSSEGISandData/COVID-19,56,,,,,,2020-03-26
,,,LTU,2823859,55.16278391600002,23.911012610500066,https://github.com/CSSEGISandData/COVID-19,299,4,,,,,2020-03-26
,,,LUX,594130,49.80347279900003,6.1075130615000575,https://github.com/CSSEGISandData/COVID-19,1453,9,,,,,2020-03-26
,,,MDG,25054161,-18.792128187999936,46.863413933500084,https://github.com/CSSEGISandData/COVID-19,23,,,,,,2020-03-26
,,,MYS,31381992,3.9309068840000734,109.69719485800007,https://github.com/CSSEGISandData/COVID-19,2031,23,,,,,2020-03-26
,,,MDV,392709,4.213175576792927,73.52910604309824,https://github.com/CSSEGISandData/COVID-19,13,,,,,,2020-03-26
,,,MLT,416338,35.88346995650005,14.445323113000057,https://github.com/CSSEGISandData/COVID-19,134,,,,,,2020-03-26
,,,MRT,19245344,17.606562093000058,8.053466634000088,https://github.com/CSSEGISandData/COVID-19,3,,,,,,2020-03-26
,,,MUS,1356388,-20.255710544999943,57.57675214950007,https://github.com/CSSEGISandData/COVID-19,81,2,,,,,2020-03-26
,,,MEX,124574795,23.629557940500092,-101.93334401247205,https://github.com/CSSEGISandData/COVID-19,475,6,,,,,2020-03-26
,,,MDA,3474121,46.967069702500055,28.28525496400006,https://github.com/CSSEGISandData/COVID-19,177,1,,,,,2020-03-26
,,,MCO,30645,43.743117918500026,7.401602119563048,https://github.com/CSSEGISandData/COVID-19,33,,,,,,2020-03-26
,,,MNG,3068243,46.85141784700008,103.85503503500007,https://github.com/CSSEGISandData/COVID-19,11,,,,,,2020-03-26
,,,MNE,642550,42.69257924700006,19.39135339350007,https://github.com/CSSEGISandData/COVID-19,69,1,,,,,2020-03-26
,,,MAR,33986655,28.67223747529175,-9.030622863196513,https://github.com/CSSEGISandData/COVID-19,275,11,,,,,2020-03-26
,,,NAM,2484780,-22.95521270749991,18.48870100550009,https://github.com/CSSEGISandData/COVID-19,8,,,,,,2020-03-26
,,,NPL,29384297,28.38379831950006,84.1027264815001,https://github.com/CSSEGISandData/COVID-19,3,,,,,,2020-03-26
,,Aruba,NLD,,12.5186,-70.0358,https://github.com/CSSEGISandData/COVID-19,28,,,,,,2020-03-26
,,Curacao,NLD,,12.19135163000007,-68.97252356699991,https://github.com/CSSEGISandData/COVID-19,6,1,,,,,2020-03-26
,,Sint Maarten,NLD,,18.047755665675673,-63.06228647314417,https://github.com/CSSEGISandData/COVID-19,3,,,,,,2020-03-26
,,,NLD,17084719,52.105282697500066,5.272002682500101,https://github.com/CSSEGISandData/COVID-19,7431,434,,,,,2020-03-26
,,,NZL,4510327,-40.878065687999936,172.51685631600003,https://github.com/CSSEGISandData/COVID-19,283,,,,,,2020-03-26
,,,NIC,6025951,12.874512430500076,-85.38847946222393,https://github.com/CSSEGISandData/COVID-19,2,,,,,,2020-03-26
,,,NER,19245344,17.606562093000058,8.053466634000088,https://github.com/CSSEGISandData/COVID-19,10,1,,,,,2020-03-26
,,,NGA,190632261,9.07578074450008,8.671077514500098,https://github.com/CSSEGISandData/COVID-19,65,1,,,,,2020-03-26
,,,MKD,2103721,41.591247966000054,21.726869751000095,https://github.com/CSSEGISandData/COVID-19,201,3,,,,,2020-03-26
,,,NOR,5320045,69.25525543850006,18.013723178000077,https://github.com/CSSEGISandData/COVID-19,3369,14,,,,,2020-03-26
,,,OMN,3424386,21.444199937000064,55.911594682500095,https://github.com/CSSEGISandData/COVID-19,109,,,,,,2020-03-26
,,,PAK,204924861,30.377750552000087,68.94667484550007,https://github.com/CSSEGISandData/COVID-19,1201,9,,,,,2020-03-26
,,,PAN,3753142,8.420921827000058,-80.07274338849989,https://github.com/CSSEGISandData/COVID-19,558,8,,,,,2020-03-26
,,,PNG,6909701,-6.775160414499936,148.39132633100002,https://github.com/CSSEGISandData/COVID-19,1,,,,,,2020-03-26
,,,PRY,6943739,-23.43368479399996,-58.44782303899994,https://github.com/CSSEGISandData/COVID-19,41,3,,,,,2020-03-26
,,,PER,31036656,-9.190602483184005,-75.01090500599992,https://github.com/CSSEGISandData/COVID-19,580,9,,,,,2020-03-26
,,,PHL,104256076,12.108262437000064,121.93718509200005,https://github.com/CSSEGISandData/COVID-19,707,45,,,,,2020-03-26
,,,POL,38476269,51.93482900350006,19.125478149000088,https://github.com/CSSEGISandData/COVID-19,1221,16,,,,,2020-03-26
,,,PRT,10839514,37.400416263500055,-15.94334102749994,https://github.com/CSSEGISandData/COVID-19,3544,60,,,,,2020-03-26
,,,QAT,2314307,25.363913984500023,51.18376712300005,https://github.com/CSSEGISandData/COVID-19,549,,,,,,2020-03-26
,,,ROU,21529967,45.95662750300005,24.950926754500074,https://github.com/CSSEGISandData/COVID-19,1029,23,,,,,2020-03-26
,,,RUS,142257519,61.240742495500065,4.263256414560601e-14,https://github.com/CSSEGISandData/COVID-19,840,3,,,,,2020-03-26
,,,RWA,11901484,-1.943601175999916,29.873323404500084,https://github.com/CSSEGISandData/COVID-19,50,,,,,,2020-03-26
,,,LCA,164994,13.86609528200006,-60.981353318999936,https://github.com/CSSEGISandData/COVID-19,3,,,,,,2020-03-26
,,,VCT,102089,13.257473049000055,-61.19764156799994,https://github.com/CSSEGISandData/COVID-19,1,,,,,,2020-03-26
,,,SMR,33537,43.92963720000006,12.437976970500117,https://github.com/CSSEGISandData/COVID-19,208,21,,,,,2020-03-26
,,,SAU,28571770,24.244550886000077,45.132142167500064,https://github.com/CSSEGISandData/COVID-19,1012,3,,,,,2020-03-26
,,,SEN,14668522,14.474492289500091,-14.37969132899994,https://github.com/CSSEGISandData/COVID-19,105,,,,,,2020-03-26
,,,SRB,7111024,44.20522467850007,20.9182886145001,https://github.com/CSSEGISandData/COVID-19,384,1,,,,,2020-03-26
,,,SYC,93920,-4.6842609996816105,55.46512857035178,https://github.com/CSSEGISandData/COVID-19,7,,,,,,2020-03-26
,,,SGP,5888926,1.3585676125000532,103.80420983150006,https://github.com/CSSEGISandData/COVID-19,683,2,,,,,2020-03-26
,,,SVK,5445829,48.67589304650005,19.692058553000123,https://github.com/CSSEGISandData/COVID-19,226,,,,,,2020-03-26
,,,SVN,1972126,46.14379954050001,14.940281412500084,https://github.com/CSSEGISandData/COVID-19,562,6,,,,,2020-03-26
,,,SOM,7531386,5.146407826500052,46.12904176900011,https://github.com/CSSEGISandData/COVID-19,2,,,,,,2020-03-26
,,,ZAF,54841552,-28.469792578999943,24.690074089500087,https://github.com/CSSEGISandData/COVID-19,927,,,,,,2020-03-26
,,,LKA,22409381,7.8766543645000695,80.82227623750006,https://github.com/CSSEGISandData/COVID-19,106,,,,,,2020-03-26
,,,SDN,37345935,15.342520469500087,30.205510901500105,https://github.com/CSSEGISandData/COVID-19,3,1,,,,,2020-03-26
,,,SUR,591919,3.922540270500072,-56.02702432849992,https://github.com/CSSEGISandData/COVID-19,8,,,,,,2020-03-26
,,,SWE,9960487,62.191185204500094,17.635630730000088,https://github.com/CSSEGISandData/COVID-19,2840,77,,,,,2020-03-26
,,,TWN,23508428,23.598456122000044,120.98259524850005,https://github.com/CSSEGISandData/COVID-19,252,2,,,,,2020-03-26
,,,TZA,53950935,-6.362582091999926,34.87894555300008,https://github.com/CSSEGISandData/COVID-19,13,,,,,,2020-03-26
,,,THA,68414135,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,1045,4,,,,,2020-03-26
,,,TGO,7965055,8.61773549700009,0.8081207685000891,https://github.com/CSSEGISandData/COVID-19,23,,,,,,2020-03-26
,,,TTO,1218208,10.451544501000058,-61.33045406799994,https://github.com/CSSEGISandData/COVID-19,65,1,,,,,2020-03-26
,,,TUN,11403800,33.78217031200008,9.521981649000097,https://github.com/CSSEGISandData/COVID-19,197,6,,,,,2020-03-26
,,,TUR,80845215,38.95576283850008,35.425474377000086,https://github.com/CSSEGISandData/COVID-19,3629,75,,,,,2020-03-26
,,,UGA,39570125,1.3750334680000833,32.26733748400008,https://github.com/CSSEGISandData/COVID-19,14,,,,,,2020-03-26
,,,UKR,44033874,48.79241852100008,31.137251424000127,https://github.com/CSSEGISandData/COVID-19,196,5,,,,,2020-03-26
,,,ARE,6072475,24.340997059161296,53.97632897200003,https://github.com/CSSEGISandData/COVID-19,333,2,,,,,2020-03-26
,,Bermuda,GBR,,32.30135133732527,-64.75903561222813,https://github.com/CSSEGISandData/COVID-19,15,,,,,,2020-03-26
,,Cayman Islands,GBR,,19.329608600000057,-81.21929895699992,https://github.com/CSSEGISandData/COVID-19,8,1,,,,,2020-03-26
,,Channel Islands,GBR,,49.3723,-2.3644,https://github.com/CSSEGISandData/COVID-19,66,1,,,,,2020-03-26
,,Gibraltar,GBR,32194,36.13020456349999,-5.348580120852014,https://github.com/CSSEGISandData/COVID-19,35,,,,,,2020-03-26
,,Isle of Man,GBR,,54.23065827050007,-4.541391568499932,https://github.com/CSSEGISandData/COVID-19,25,,,,,,2020-03-26
,,Montserrat,GBR,,16.757985463853487,-62.19774555640687,https://github.com/CSSEGISandData/COVID-19,5,,,,,,2020-03-26
,,,GBR,64769452,55.19161611550004,-3.192432722499916,https://github.com/CSSEGISandData/COVID-19,11658,578,,,,,2020-03-26
,,,URY,3360148,-32.535970353999936,-55.78074845749991,https://github.com/CSSEGISandData/COVID-19,217,,,,,,2020-03-26
,,,UZB,29748859,41.373793538500024,64.48963423650005,https://github.com/CSSEGISandData/COVID-19,75,,,,,,2020-03-26
,,,VEN,31304016,6.444529930500067,-66.5967054854999,https://github.com/CSSEGISandData/COVID-19,107,,,,,,2020-03-26
,,,VNM,96160163,15.941768090000089,105.79183617800007,https://github.com/CSSEGISandData/COVID-19,153,,,,,,2020-03-26
,,,ZMB,15972000,-13.129972635499918,27.827040039000053,https://github.com/CSSEGISandData/COVID-19,16,,,,,,2020-03-26
,,,ZWE,13805084,-19.0060739139999,29.12944116200009,https://github.com/CSSEGISandData/COVID-19,3,1,,,,,2020-03-26
,,,DMA,73897,15.390529689500056,-61.37279212149994,https://github.com/CSSEGISandData/COVID-19,11,,,,,,2020-03-26
,,,GRD,111724,12.158229885000054,-61.68468176999994,https://github.com/CSSEGISandData/COVID-19,7,,,,,,2020-03-26
,,,MOZ,26573706,-18.660455010999897,35.52850264150007,https://github.com/CSSEGISandData/COVID-19,7,,,,,,2020-03-26
,,,SYR,18028549,34.811545512000066,39.05741437600011,https://github.com/CSSEGISandData/COVID-19,5,,,,,,2020-03-26
,,,TLS,1291358,-8.898868303499945,125.66663658950006,https://github.com/CSSEGISandData/COVID-19,1,,,,,,2020-03-26
,,,BLZ,360346,17.18921030650006,-88.66402716449991,https://github.com/CSSEGISandData/COVID-19,2,,,,,,2020-03-26
,,,LAO,7126706,18.18079060900007,103.87844445800008,https://github.com/CSSEGISandData/COVID-19,6,,,,,,2020-03-26
,,,LBY,6653210,26.33867453700003,17.21871667100008,https://github.com/CSSEGISandData/COVID-19,1,,,,,,2020-03-26
,,,GNB,1792338,11.823454288500052,-15.195917892457189,https://github.com/CSSEGISandData/COVID-19,2,,,,,,2020-03-26
,,,MLI,17885245,17.578527629000078,-4.014246378499891,https://github.com/CSSEGISandData/COVID-19,4,,,,,,2020-03-26
,,,KNA,52715,17.340725002000084,-62.755767381499936,https://github.com/CSSEGISandData/COVID-19,2,,,,,,2020-03-26
,,,XKX,1895250,42.521824239500006,20.90180383250008,https://github.com/CSSEGISandData/COVID-19,71,1,,,,,2020-03-26
