city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,aggregate,rating,tz,featureId,hospitalized
,,Greenland,DNK,10,0,,,,,77.31684743914664,-36.74461070059533,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,America/Godthab,72,
,,,DNK,2860,90,,,,5605948,56.10986969600006,11.628916862500091,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Europe/Copenhagen,73,
,,,DJI,30,0,,,,865267,11.839293826500068,42.58024885700007,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Djibouti,74,
,,,DOM,1109,51,,,,10734247,18.771246649000062,-70.13417985399988,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,America/Santo_Domingo,75,
,,,ECU,2240,75,,,,16290913,-1.7634670984999161,-83.4578538649999,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Etc/GMT+6,76,
,,,EGY,710,46,,,,97041072,26.825424706000064,30.791862752500094,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Cairo,77,
,,,SLV,32,1,,,,6172011,13.787057295000054,-88.9058347174999,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,America/El_Salvador,78,
,,,GNQ,12,0,,,,778358,2.3796428239493608,9.89327355600011,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Douala,79,
,,,ERI,15,0,,,,5918919,15.182425031500067,39.77066674450006,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Asmara,80,
,,,EST,745,4,,,,1251581,58.572233381000025,24.943451368500064,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Europe/Tallinn,81,
,,,SWZ,9,0,,,,1467152,-26.52995574899993,31.451547485500043,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Mbabane,82,
,,,ETH,26,0,,,,105350020,9.170952962500039,40.484484497000125,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Addis_Ababa,83,
,,,FJI,5,0,,,,920938,-17.19878971549994,178.62581910850002,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Pacific/Fiji,84,
,,,FIN,1418,17,,,,5491218,64.9866635165001,26.09634464500006,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Europe/Helsinki,85,
,,French Guiana,FRA,43,0,,,,,3.9276570495000627,-53.13299882399991,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,America/Cayenne,86,
,,French Polynesia,FRA,36,0,,,,,-17.6797,149.4068,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,,,
,,Guadeloupe,FRA,114,4,,,,,16.196804103500057,-61.49286861849993,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,America/Guadeloupe,87,
,,Mayotte,FRA,94,1,,,,,-12.856052341999913,45.150157097500085,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,Indian/Mayotte,88,
,,New Caledonia,FRA,16,0,,,,,-20.9043,165.618,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,,,
,,Reunion,FRA,247,0,,,,,-21.1351,55.2471,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,,,
,,Saint Barthelemy,FRA,6,0,,,,9793,17.903509833000072,-62.82453365799992,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,America/St_Barthelemy,89,
,,St Martin,FRA,15,1,,,,,18.07776461717568,-63.06228647314417,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,America/Marigot,90,
,,Martinique,FRA,128,3,,,,,14.669175522500069,-61.019622362499945,https://github.com/CSSEGISandData/COVID-19,state,0.5098039215686274,America/Martinique,91,
,,,FRA,52128,3523,,,,67106161,14.862000781359463,-2.9882706369999426,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Bamako,92,
,,,GAB,16,1,,,,1772255,-0.8136401413979657,11.649647050500107,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Libreville,93,
,,,GMB,4,1,,,,2051363,13.442496646000073,-15.340368716999905,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Banjul,94,
,,,GEO,110,0,,,,4926330,42.31029968300004,43.34038972821833,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Asia/Tbilisi,95,
,,,DEU,71808,775,,,,80594017,51.09924480150008,10.473758178500105,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Europe/Berlin,96,
,,,GHA,161,5,,,,27499924,7.936054182000099,-1.038557295499956,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Accra,97,
,,,GRC,1314,49,,,,10768477,38.322331546000065,24.119802279500078,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Europe/Athens,98,
,,,GTM,38,1,,,,15460732,15.773375903990305,-90.2335965784999,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,America/Guatemala,99,
,,,GIN,22,0,,,,12413867,9.955672506000056,-11.356289228999898,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Freetown,100,
,,,GUY,12,2,,,,737718,4.887909040000061,-58.9307134609999,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,America/Guyana,101,
,,,HTI,15,0,,,,10646714,18.99158356300007,-73.06413834999991,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,America/Port-au-Prince,102,
,,,VAT,6,0,,,,1000,41.90333333950011,12.453533325000109,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Europe/Vatican,103,
,,,HND,141,7,,,,9038741,14.484747626000058,-86.24603266122396,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,America/Tegucigalpa,104,
,,,HUN,492,16,,,,9850845,47.156127930000025,19.485817912000087,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Europe/Budapest,105,
,,,ISL,1135,2,,,,339747,64.96666087450004,-18.861826138499936,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Atlantic/Reykjavik,106,
,,,IND,1397,35,,,,1281935911,21.151850284000083,82.74863427400004,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Asia/Kolkata,107,
,,,IDN,1528,136,,,,260580739,-2.6357561174999375,118.08721907200007,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Asia/Makassar,108,
,,,IRN,44605,2898,,,,82021564,32.412651216000036,53.6631116130001,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Asia/Tehran,109,
,,,IRQ,694,50,,,,39192111,33.21901997950006,43.65276391200004,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Asia/Baghdad,110,
,,,IRL,3235,71,,,,5011102,53.46108633000006,-8.136179165499925,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Europe/Dublin,111,
,,,ISR,5358,20,,,,8299706,31.448389692000035,35.06821170350008,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Asia/Hebron,112,
,,,JAM,36,1,,,,2990561,18.11774323150007,-77.30223548049992,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,America/Jamaica,113,
,,,JPN,1953,56,,,,126451398,37.87307291750005,137.65978516150005,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Asia/Tokyo,114,
,,,JOR,274,5,,,,10248069,31.280817871500048,37.04788003839781,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Asia/Amman,115,
,,,KAZ,343,2,,,,18556698,47.96872690850006,66.90155419950011,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Asia/Almaty,116,
,,,KEN,59,1,,,,47615739,0.1521078450765998,37.889294067000066,https://github.com/CSSEGISandData/COVID-19,country,0.47058823529411764,Africa/Nairobi,117,
